1615541400000,56674.25000000,56674.25000000,56449.99000000,56499.99000000,647.40050300,1615542299999,36611526.03697760,16357,321.36245200,18173901.25110382,0
1615542300000,56500.00000000,56575.00000000,56311.00000000,56540.53000000,612.72574000,1615543199999,34576439.70605034,18632,288.84020400,16300591.02110497,0
1615543200000,56540.53000000,56540.53000000,56139.64000000,56212.57000000,693.33822000,1615544099999,39027128.97879841,23291,314.59599300,17706302.29422346,0
1615544100000,56212.58000000,56212.60000000,55855.00000000,55861.74000000,1155.75198700,1615544999999,64747429.94272976,30504,466.23669300,26118234.87452485,0
1615545000000,55861.75000000,56542.59000000,55826.05000000,56525.74000000,1041.28087600,1615545899999,58524859.14125932,30364,567.60075100,31901779.64612467,0
1615545900000,56524.22000000,56866.83000000,56459.09000000,56715.97000000,1065.05565900,1615546799999,60354876.02067233,27102,583.32120800,33053841.79039093,0
1615546800000,56715.97000000,57073.48000000,56572.66000000,56946.66000000,1126.02493900,1615547699999,64042212.84875197,41682,547.30028700,31129291.72474312,0
1615547700000,56946.66000000,56946.67000000,56715.00000000,56823.46000000,682.66259800,1615548599999,38781417.73008700,32081,339.84802500,19306340.88898681,0
1615548600000,56823.45000000,56823.46000000,56479.85000000,56509.73000000,580.28151800,1615549499999,32883801.15664930,34776,258.16582200,14632279.15951729,0
1615549500000,56509.73000000,56649.24000000,56347.00000000,56500.00000000,601.17974100,1615550399999,33952880.60899434,34693,291.13028800,16443353.05270738,0
1615550400000,56499.99000000,56844.61000000,56284.39000000,56530.99000000,691.10183900,1615551299999,39066249.21689028,24024,327.20374200,18501820.15832633,0
1615551300000,56532.24000000,56620.44000000,56327.32000000,56421.63000000,505.62113600,1615552199999,28536159.13018895,20229,245.36601400,13848766.07985614,0
1615552200000,56421.63000000,56551.47000000,56179.47000000,56546.39000000,734.22319200,1615553099999,41366748.01540216,24084,333.20738800,18776280.03642960,0
1615553100000,56546.39000000,56556.00000000,56305.14000000,56386.89000000,473.40434100,1615553999999,26710464.94182193,19094,261.33990600,14744734.42752392,0
1615554000000,56385.97000000,56391.25000000,55369.60000000,55586.17000000,3121.21646800,1615554899999,174066692.78165106,89331,1451.73820600,80958712.00783452,0
1615554900000,55586.17000000,55970.00000000,54962.84000000,55251.00000000,2598.82146400,1615555799999,144050004.25532974,73580,1073.11911000,59524579.22330411,0
1615555800000,55251.00000000,55687.96000000,55150.00000000,55622.94000000,1707.37568500,1615556699999,94649897.65465415,54046,827.85099300,45895315.21140829,0
1615556700000,55622.94000000,56033.01000000,55540.00000000,55764.51000000,1005.00502100,1615557599999,56041203.24153259,36124,509.85070600,28432928.44188889,0
